Timestamps,Bytes_Sent (TCP),Bytes_Sent (UDP),Bytes_Sent (Other),Bytes_Received (TCP),Bytes_Received (UDP),Bytes_Received (Other),Packets_Sent (TCP),Packets_Sent (UDP),Packets_Sent (Other),Packets_Received (TCP),Packets_Received (UDP),Packets_Received (Other)
2/16/2024 7:10,805,918,223,762,700,250,28,29,29,67,34,24
2/16/2024 7:15,665,918,240,1070,496,164,50,35,18,33,28,22
2/16/2024 7:20,842,575,202,700,812,150,66,21,23,33,17,16
2/16/2024 7:25,816,795,168,1100,509,297,46,39,27,32,21,24
2/16/2024 7:30,1054,758,160,1120,766,208,28,15,12,55,22,15
2/16/2024 7:35,792,908,157,1187,859,232,66,37,12,63,27,9
2/16/2024 7:40,1151,512,116,1033,649,278,62,15,19,31,41,25
2/16/2024 7:45,1082,476,214,625,747,204,48,17,18,62,23,11
2/16/2024 7:50,660,803,141,991,799,140,59,15,20,31,26,29
2/16/2024 7:55,827,774,255,858,591,244,22,36,22,64,33,13
2/16/2024 8:00,755,493,140,1065,828,122,65,16,18,65,23,10
2/16/2024 8:05,934,788,256,737,481,128,36,38,25,55,19,25
2/16/2024 8:10,957,584,255,690,825,215,47,26,12,62,41,8
2/16/2024 8:15,921,894,166,1137,483,160,53,16,10,52,33,10
2/16/2024 8:20,627,665,112,1112,510,273,47,38,13,31,26,19
2/16/2024 8:25,715,573,275,1148,776,297,30,21,29,34,34,15
2/16/2024 8:30,1088,742,292,951,814,238,60,22,23,65,20,12
2/16/2024 8:35,732,695,101,999,814,277,63,21,13,24,29,12
2/16/2024 8:40,862,803,201,603,862,181,56,14,30,50,28,28
2/16/2024 8:45,646,752,284,1007,665,265,38,27,9,38,14,23
2/16/2024 8:50,813,578,237,1105,681,104,49,21,18,66,22,10
2/16/2024 8:55,991,709,259,1064,640,128,66,30,18,55,14,25
2/16/2024 9:00,881,840,251,1125,808,155,28,39,11,48,26,28
2/16/2024 9:05,711,492,258,1030,891,144,45,26,23,29,20,23
2/16/2024 9:10,885,764,229,1134,917,283,42,14,27,54,32,22
2/16/2024 9:15,653,731,165,654,903,186,47,32,21,41,15,22
2/16/2024 9:20,727,545,176,663,850,259,62,36,24,46,32,18
2/16/2024 9:25,995,774,216,893,664,158,48,24,18,54,35,19
2/16/2024 9:30,1007,815,118,782,585,262,51,30,13,64,39,8
2/16/2024 9:35,966,631,297,1195,897,253,38,41,28,63,38,9
2/16/2024 9:40,1067,842,157,688,588,156,38,31,10,45,15,23
2/16/2024 9:45,767,589,298,620,877,140,50,14,16,27,16,20
2/16/2024 9:50,881,877,170,879,533,184,48,24,26,35,39,13
2/16/2024 9:55,1170,833,128,948,454,126,44,30,18,55,23,9
2/16/2024 10:00,1080,710,153,913,567,296,23,30,19,45,39,16
2/16/2024 10:05,774,516,219,680,772,220,48,37,25,52,40,15
2/16/2024 10:10,782,587,205,816,741,119,32,31,18,57,25,8
2/16/2024 10:15,1107,863,165,1034,613,265,39,36,21,49,37,22
2/16/2024 10:20,878,489,122,1038,671,295,23,14,15,64,36,22
2/16/2024 10:25,723,848,184,894,785,174,25,18,15,32,16,27
2/16/2024 10:30,1099,629,160,686,745,143,50,25,11,61,17,8
2/16/2024 10:35,1187,653,170,865,858,275,37,32,13,61,35,30
2/16/2024 10:40,1164,910,104,930,716,124,57,26,21,26,38,29
2/16/2024 10:45,1101,885,190,882,859,125,55,29,20,24,21,12
2/16/2024 10:50,716,752,199,1177,694,180,61,38,14,38,15,25
2/16/2024 10:55,1150,502,108,1055,745,239,64,22,23,46,33,16
2/16/2024 11:00,1088,710,244,1059,792,250,29,36,21,54,19,13
2/16/2024 11:05,722,692,179,1118,647,160,61,32,27,64,24,28
2/16/2024 11:10,977,730,149,851,879,206,60,15,20,50,18,16
2/16/2024 11:15,746,690,168,1048,530,254,27,29,21,23,37,17
2/16/2024 11:20,606,766,132,1121,635,275,57,19,22,53,40,17
2/16/2024 11:25,746,463,209,751,533,175,35,23,29,59,18,15
2/16/2024 11:30,1071,725,286,950,611,105,65,28,22,48,18,27
2/16/2024 11:35,937,877,244,891,476,121,57,40,16,60,37,17
2/16/2024 11:40,1044,712,294,892,593,300,28,25,30,44,40,13
2/16/2024 11:45,628,498,260,943,881,299,31,35,15,51,22,10
2/16/2024 11:50,838,742,182,611,915,284,60,17,9,65,41,9
2/16/2024 11:55,1194,726,151,1000,760,255,30,32,22,48,30,20
2/16/2024 12:00,1120,657,220,690,767,123,46,23,21,61,17,19
2/16/2024 12:05,1165,772,191,1102,879,192,22,23,8,32,19,12
2/16/2024 12:10,970,901,271,1120,710,178,33,26,12,38,28,10
2/16/2024 12:15,858,680,251,719,640,168,38,35,23,61,41,9
2/16/2024 12:20,701,507,267,608,905,248,46,25,13,67,35,29
2/16/2024 12:25,1168,494,241,798,905,225,36,38,23,62,17,28
2/16/2024 12:30,734,557,178,788,664,284,48,27,22,34,21,14
2/16/2024 12:35,1008,491,113,755,867,212,42,21,12,27,30,23
2/16/2024 12:40,1151,748,281,1000,740,278,41,32,19,54,32,18
2/16/2024 12:45,969,838,182,1039,789,160,52,39,8,32,16,30
2/16/2024 12:50,1108,784,108,781,757,193,29,25,10,42,31,20
2/16/2024 12:55,872,703,148,927,604,102,31,31,15,57,35,15
2/16/2024 13:00,1019,886,151,1140,815,175,49,34,15,62,20,9
2/16/2024 13:05,834,760,149,745,514,205,28,21,25,28,40,28
2/16/2024 13:10,944,617,284,1056,763,258,67,14,9,43,29,20
2/16/2024 13:15,1089,580,157,724,837,128,32,38,15,66,40,8
2/16/2024 13:20,889,636,280,702,848,217,60,38,26,31,22,18
2/16/2024 13:25,1090,890,123,753,761,198,33,16,10,24,27,10
2/16/2024 13:30,1175,914,261,1166,598,298,58,26,28,25,25,8
2/16/2024 13:35,740,668,202,718,563,225,50,19,17,68,21,19
2/16/2024 13:40,791,918,119,1127,721,278,34,41,28,50,18,20
2/16/2024 13:45,1178,795,101,1138,721,145,62,28,24,33,26,11
2/16/2024 13:50,857,587,121,756,851,126,53,18,23,34,32,28
2/16/2024 13:55,653,880,177,939,724,121,60,33,16,28,35,21
2/16/2024 14:00,876,527,234,906,497,103,53,29,29,25,27,25
2/16/2024 14:05,603,728,103,614,762,154,31,19,17,58,30,9
2/16/2024 14:10,947,904,285,1173,818,257,45,40,16,66,21,13
2/16/2024 14:15,819,516,286,707,519,282,48,15,14,63,24,12
2/16/2024 14:20,1163,500,118,761,718,216,32,20,12,40,19,25
2/16/2024 14:25,859,592,144,687,756,271,66,15,16,23,28,20
2/16/2024 14:30,1007,824,100,1177,558,127,67,19,10,38,38,19
2/16/2024 14:35,994,508,149,947,862,182,26,38,10,56,21,10
2/16/2024 14:40,951,578,146,959,832,162,24,19,17,45,17,21
2/16/2024 14:45,1122,912,139,979,671,127,41,26,12,61,23,18
2/16/2024 14:50,762,593,279,716,901,283,37,25,12,68,26,22
2/16/2024 14:55,826,643,150,787,681,271,23,41,27,33,20,14
2/16/2024 15:00,1024,654,199,782,914,264,60,34,26,56,38,14
2/16/2024 15:05,1097,499,285,743,585,136,43,29,12,60,38,11
2/16/2024 15:10,722,882,131,707,816,122,62,23,10,26,18,28
2/16/2024 15:15,1028,672,287,610,847,189,58,18,14,67,27,18
2/16/2024 15:20,884,499,243,667,524,147,44,41,17,57,36,9
2/16/2024 15:25,647,453,194,860,643,204,59,36,16,66,19,23
2/16/2024 15:30,880,640,209,819,657,224,23,16,16,50,40,25
2/16/2024 15:35,1027,462,217,1116,570,216,44,41,21,45,29,14
2/16/2024 15:40,1127,688,283,708,853,210,62,21,12,28,31,11
2/16/2024 15:45,862,646,216,649,582,297,48,19,17,64,15,23
2/16/2024 15:50,1175,751,166,624,501,191,63,25,9,38,21,14
2/16/2024 15:55,974,503,172,1192,868,264,57,25,21,61,15,23
2/16/2024 16:00,923,682,107,688,482,172,48,21,13,57,41,9
2/16/2024 16:05,1016,490,130,1094,740,289,63,17,28,54,22,23
2/16/2024 16:10,671,729,158,736,852,122,37,19,20,52,37,22
2/16/2024 16:15,1100,910,172,971,733,224,65,17,8,32,21,12
2/16/2024 16:20,745,850,254,1046,771,191,53,33,20,31,25,20
2/16/2024 16:25,636,713,274,1148,890,147,63,23,30,50,39,27
2/16/2024 16:30,1080,517,209,1096,846,178,31,35,26,35,36,15
2/16/2024 16:35,1183,763,222,697,526,276,38,19,26,32,35,12
2/16/2024 16:40,607,728,193,965,591,134,52,37,23,61,26,23
2/16/2024 16:45,1024,535,161,798,634,288,57,35,17,51,38,9
2/16/2024 16:50,1043,873,160,993,459,270,42,26,28,38,28,12
2/16/2024 16:55,705,619,274,1192,748,140,63,23,11,22,28,24
2/16/2024 17:00,630,697,184,1150,871,277,39,16,18,44,15,16
2/16/2024 17:05,886,581,125,818,809,111,35,36,11,44,36,14
2/16/2024 17:10,1168,811,233,834,914,197,25,15,8,23,22,29
2/16/2024 17:15,1129,826,261,1199,761,291,29,20,17,40,31,12
2/16/2024 17:20,937,646,207,725,696,102,63,17,16,49,14,14
2/16/2024 17:25,1155,602,171,970,639,216,36,20,10,54,38,22
2/16/2024 17:30,709,860,103,1049,588,299,65,15,30,42,19,21
2/16/2024 17:35,677,561,291,1060,458,159,64,24,23,24,32,29
2/16/2024 17:40,758,852,230,664,523,180,56,38,24,55,17,30
2/16/2024 17:45,603,565,281,679,776,227,53,27,15,39,33,19
2/16/2024 17:50,610,704,204,1165,516,240,24,17,11,53,33,26
2/16/2024 17:55,726,710,223,1120,550,203,53,30,11,49,21,26
2/16/2024 18:00,778,905,190,900,731,188,44,25,8,29,27,25
2/16/2024 18:05,903,588,141,1035,801,176,42,20,23,33,14,11
2/16/2024 18:10,1035,514,117,891,606,261,53,22,26,47,37,15
2/16/2024 18:15,825,663,175,651,464,217,25,21,19,62,35,8
2/16/2024 18:20,870,907,115,1188,476,149,35,28,26,63,33,20
2/16/2024 18:25,1059,788,143,882,484,250,29,18,13,34,17,24
2/16/2024 18:30,884,792,268,1007,719,202,61,18,15,48,24,20
2/16/2024 18:35,952,840,176,1049,824,267,35,35,27,22,39,9
2/16/2024 18:40,1200,537,157,1156,585,131,29,20,27,32,34,28
2/16/2024 18:45,794,509,184,691,558,121,42,27,21,42,33,23
2/16/2024 18:50,970,659,170,601,589,248,50,31,8,28,25,25
2/16/2024 18:55,939,534,295,1075,805,116,51,19,30,31,34,10
2/16/2024 19:00,968,812,170,1068,762,277,54,29,30,47,22,15
2/16/2024 19:05,1195,587,235,668,760,238,48,21,13,28,31,19
2/16/2024 19:10,1172,708,237,746,637,202,66,28,15,64,26,23
2/16/2024 19:15,1038,696,214,1001,452,188,53,14,26,40,22,9
2/16/2024 19:20,1145,497,264,981,495,210,28,36,13,28,24,19
2/16/2024 19:25,795,837,294,892,535,185,65,36,22,43,17,23
2/16/2024 19:30,912,594,231,689,639,275,25,38,15,61,20,28
2/16/2024 19:35,911,593,236,1128,452,288,43,37,16,29,17,30
2/16/2024 19:40,1095,623,137,872,605,217,32,19,8,57,18,10
2/16/2024 19:45,1166,619,232,921,573,220,36,25,27,52,26,14
2/16/2024 19:50,733,913,127,1021,775,167,65,27,27,50,20,25
2/16/2024 19:55,1073,516,196,987,463,117,65,39,19,61,27,17
2/16/2024 20:00,790,535,294,736,795,241,30,39,18,58,18,19
2/16/2024 20:05,645,683,131,975,721,187,26,27,15,26,33,16
2/16/2024 20:10,1080,773,178,910,731,128,61,35,26,44,21,20
2/16/2024 20:15,818,863,267,705,610,122,55,29,11,23,22,24
2/16/2024 20:20,617,632,185,665,916,155,26,17,24,38,35,19
2/16/2024 20:25,949,625,258,1059,794,164,46,31,16,62,36,8
2/16/2024 20:30,1198,692,191,1065,861,254,38,28,17,66,25,16
2/16/2024 20:35,814,842,114,1104,558,157,55,26,27,47,31,10
2/16/2024 20:40,720,511,192,812,608,136,30,19,16,31,15,20
2/16/2024 20:45,746,644,133,711,721,247,48,27,11,28,14,19
2/16/2024 20:50,980,590,169,612,492,157,49,28,30,39,22,21
2/16/2024 20:55,977,697,208,833,482,171,36,36,9,33,23,28
2/16/2024 21:00,1045,601,254,1155,487,280,52,16,20,60,23,30
2/16/2024 21:05,793,769,207,928,498,124,59,16,13,61,35,16
2/16/2024 21:10,627,640,154,953,592,238,33,35,14,59,30,27
2/16/2024 21:15,672,872,179,723,640,293,47,35,25,29,15,14
2/16/2024 21:20,1031,615,175,1098,689,288,57,34,29,41,14,14
2/16/2024 21:25,1179,867,242,714,521,239,23,39,21,41,34,29
2/16/2024 21:30,654,486,290,608,496,207,68,24,20,22,24,28
2/16/2024 21:35,1081,475,155,908,812,208,45,39,10,63,20,26
2/16/2024 21:40,886,816,145,679,628,280,44,38,17,67,16,12
2/16/2024 21:45,764,507,269,1107,543,133,60,19,9,26,28,16
2/16/2024 21:50,957,726,165,1192,830,277,64,39,19,59,33,11
2/16/2024 21:55,723,887,241,1089,778,228,27,16,22,66,16,20
2/16/2024 22:00,871,730,146,721,686,137,46,37,29,32,40,12
2/16/2024 22:05,1102,805,262,811,728,154,60,14,11,36,27,27
2/16/2024 22:10,1098,553,129,1105,631,229,62,29,15,24,33,13
2/16/2024 22:15,750,919,127,620,803,287,30,34,28,67,29,15
2/16/2024 22:20,882,570,234,807,546,285,47,16,30,55,17,30
2/16/2024 22:25,1114,746,176,1035,713,133,25,27,14,67,14,17
2/16/2024 22:30,1046,484,242,1069,730,201,26,34,23,62,27,11
2/16/2024 22:35,812,815,212,793,860,264,42,32,9,43,39,24
2/16/2024 22:40,763,775,179,949,702,247,67,32,27,54,40,16
2/16/2024 22:45,642,580,154,715,663,230,38,24,16,29,17,30
2/16/2024 22:50,1104,664,246,872,653,148,30,24,22,61,30,15
2/16/2024 22:55,1113,553,138,838,574,153,23,18,8,50,30,15
2/16/2024 23:00,653,889,264,880,692,111,26,36,28,46,38,26
2/16/2024 23:05,851,862,269,900,840,140,40,41,10,41,15,24
2/16/2024 23:10,963,904,249,1107,569,288,43,27,10,44,24,30
2/16/2024 23:15,903,858,293,949,518,294,36,40,20,62,33,26
2/16/2024 23:20,1127,474,193,699,758,103,56,36,28,57,36,24
2/16/2024 23:25,734,535,160,1163,639,151,34,21,11,58,41,9
2/16/2024 23:30,719,672,100,1139,481,210,63,25,19,23,27,26
2/16/2024 23:35,1088,569,149,954,555,222,67,27,30,40,25,26
2/16/2024 23:40,1033,915,140,1062,809,229,53,27,22,50,38,8
2/16/2024 23:45,1113,502,131,1076,809,220,30,16,17,23,28,10
2/16/2024 23:50,742,700,196,811,563,111,34,29,30,52,15,15
2/16/2024 23:55,968,556,212,728,834,171,50,28,15,50,33,18
2/17/2024 0:00,683,571,155,888,516,226,58,34,15,61,41,19
2/17/2024 0:05,936,826,246,1139,793,263,61,27,17,23,31,30
2/17/2024 0:10,772,758,176,804,848,149,35,17,28,56,41,13
2/17/2024 0:15,1081,626,228,736,865,180,36,28,18,30,40,19
2/17/2024 0:20,1138,599,167,1189,716,256,46,19,22,38,37,11
2/17/2024 0:25,827,512,184,903,556,249,64,39,22,44,15,16
2/17/2024 0:30,816,849,173,1178,506,109,36,15,18,30,16,11
2/17/2024 0:35,1049,838,225,733,598,131,35,30,27,32,22,13
2/17/2024 0:40,795,532,233,822,826,246,64,18,23,26,21,9
2/17/2024 0:45,618,864,236,1049,795,296,39,17,13,66,36,24
2/17/2024 0:50,856,771,295,1031,816,115,24,31,20,59,25,23
2/17/2024 0:55,640,806,181,1175,867,240,44,17,29,54,26,19
2/17/2024 1:00,902,658,248,787,773,216,63,14,24,57,22,18
2/17/2024 1:05,1101,510,215,1051,520,242,36,22,8,23,14,26
2/17/2024 1:10,640,882,291,1151,455,189,65,30,30,62,16,22
2/17/2024 1:15,722,557,249,615,781,275,43,21,9,64,21,13
2/17/2024 1:20,1067,792,180,857,901,298,65,25,18,54,26,29
2/17/2024 1:25,787,816,118,1099,818,128,45,14,15,62,32,28
2/17/2024 1:30,858,451,238,1133,599,138,56,36,18,23,34,9
2/17/2024 1:35,669,801,214,1111,749,261,59,22,9,68,28,11
2/17/2024 1:40,693,794,282,1175,519,151,42,38,10,52,36,14
2/17/2024 1:45,923,904,119,1171,744,269,45,26,15,23,23,14
2/17/2024 1:50,1046,723,270,788,648,195,53,29,16,37,25,12
2/17/2024 1:55,806,479,158,1110,919,286,31,36,30,53,16,12
2/17/2024 2:00,703,674,256,889,485,242,54,33,12,58,30,25
2/17/2024 2:05,1044,763,180,956,562,211,62,27,11,51,28,24
2/17/2024 2:10,793,652,156,1119,888,160,39,35,10,40,40,25
2/17/2024 2:15,1166,559,245,970,826,159,47,31,19,34,29,11
2/17/2024 2:20,1099,475,180,1179,452,196,31,19,15,61,29,21
2/17/2024 2:25,1092,486,112,912,658,182,35,33,19,48,34,19
2/17/2024 2:30,869,704,229,1067,894,250,55,16,27,41,38,20
2/17/2024 2:35,1002,455,189,839,710,183,56,32,19,45,38,26
2/17/2024 2:40,681,582,121,1140,543,105,30,29,8,57,27,19
2/17/2024 2:45,939,610,237,1023,491,218,51,40,22,48,33,24
2/17/2024 2:50,1181,676,171,621,793,100,28,33,13,53,19,26
2/17/2024 2:55,793,609,218,652,712,291,34,31,11,47,31,20
2/17/2024 3:00,1069,694,201,789,681,289,59,28,18,54,26,22
2/17/2024 3:05,1015,506,158,688,636,270,53,25,26,28,21,19
2/17/2024 3:10,716,721,239,1082,620,104,39,31,29,39,31,15
2/17/2024 3:15,1152,910,245,928,639,167,42,32,11,58,35,12
2/17/2024 3:20,1022,545,299,750,875,148,43,17,9,27,24,10
2/17/2024 3:25,805,728,148,600,475,220,40,41,25,63,33,11
2/17/2024 3:30,750,736,250,1175,507,272,38,37,25,62,34,29
2/17/2024 3:35,903,752,152,916,664,120,45,16,27,62,21,14
2/17/2024 3:40,745,759,198,666,824,173,56,35,27,40,18,13
2/17/2024 3:45,977,741,203,983,653,161,52,26,12,50,40,9
2/17/2024 3:50,609,483,154,832,715,155,66,37,17,55,40,22
2/17/2024 3:55,1073,876,208,1156,882,204,27,40,28,68,41,20
2/17/2024 4:00,849,864,146,902,741,250,26,22,16,58,38,17
2/17/2024 4:05,1080,731,113,1188,477,136,39,26,17,57,41,27
2/17/2024 4:10,989,806,214,787,729,217,40,29,20,51,41,12
2/17/2024 4:15,885,554,260,1010,699,239,24,40,14,41,26,26
2/17/2024 4:20,665,545,289,744,830,295,30,30,26,28,31,19
2/17/2024 4:25,945,721,288,1111,711,216,68,24,24,68,39,29
2/17/2024 4:30,1038,833,256,641,672,188,53,30,12,30,31,12
2/17/2024 4:35,1173,491,179,633,795,211,59,27,26,43,26,28
2/17/2024 4:40,610,849,241,679,872,261,26,14,18,39,15,14
2/17/2024 4:45,1103,589,112,973,488,271,66,24,9,25,41,21
2/17/2024 4:50,644,559,113,1173,871,165,37,22,19,60,17,11
2/17/2024 4:55,804,721,300,604,896,140,30,38,11,49,20,13
2/17/2024 5:00,1050,783,250,1034,804,202,33,33,27,23,34,15
2/17/2024 5:05,827,492,299,901,743,158,29,17,15,59,14,28
2/17/2024 5:10,669,656,102,861,784,168,61,34,8,26,14,9
2/17/2024 5:15,1124,862,114,821,809,230,58,34,8,40,27,26
2/17/2024 5:20,1082,499,231,1190,596,173,30,16,21,48,21,10
2/17/2024 5:25,697,561,192,864,651,100,48,21,10,29,29,22
2/17/2024 5:30,654,541,123,824,721,112,67,37,24,45,29,30
2/17/2024 5:35,764,693,178,875,574,262,62,21,22,47,14,16
2/17/2024 5:40,793,555,173,608,903,168,31,41,14,60,33,12
2/17/2024 5:45,608,554,168,1172,709,156,32,15,16,23,28,12
2/17/2024 5:50,1042,915,214,825,915,270,45,18,30,46,39,22
2/17/2024 5:55,1191,674,167,759,620,204,25,30,25,56,32,21
2/17/2024 6:00,1001,757,175,839,804,224,30,17,21,35,22,16
2/17/2024 6:05,802,559,184,1103,634,228,43,22,21,63,14,14
2/17/2024 6:10,998,647,193,1143,507,262,38,39,18,26,25,30
2/17/2024 6:15,936,875,202,1074,779,108,64,22,12,52,24,21
2/17/2024 6:20,1180,461,100,1032,866,206,50,19,11,38,22,16
2/17/2024 6:25,707,574,120,958,588,270,56,29,16,30,14,9
2/17/2024 6:30,868,484,135,726,501,166,66,18,15,31,17,8
2/17/2024 6:35,964,635,165,663,876,264,52,17,10,46,33,9
2/17/2024 6:40,1036,907,166,928,617,173,44,30,8,50,32,20
2/17/2024 6:45,882,842,203,1143,870,285,34,36,21,29,26,16
2/17/2024 6:50,1131,559,146,980,868,288,56,14,13,26,15,10
2/17/2024 6:55,782,760,152,992,859,129,38,32,11,28,17,13
2/17/2024 7:00,987,818,222,1038,726,278,28,20,23,23,25,9
2/17/2024 7:05,677,885,161,894,519,244,49,23,9,63,24,15
2/17/2024 7:10,711,688,142,999,697,241,43,27,24,63,34,22
2/17/2024 7:15,1089,613,223,774,592,165,33,31,21,49,28,17
2/17/2024 7:20,1020,559,197,811,551,116,56,37,13,53,17,20
2/17/2024 7:25,981,851,166,738,603,242,53,36,10,67,16,12
2/17/2024 7:30,625,777,212,1072,813,105,41,24,28,68,40,17
2/17/2024 7:35,746,811,295,1121,909,245,27,27,15,38,20,26
2/17/2024 7:40,764,913,205,1047,549,171,37,14,25,52,29,18
2/17/2024 7:45,1069,738,216,725,888,100,41,36,23,45,36,29
2/17/2024 7:50,999,789,291,699,714,174,22,23,8,27,19,13
